Year,Province,"Income, consumption and savings",UOM, VALUE 
2016,British Columbia,Social transfers in kind (STiK): education,Dollars,5330
2017,British Columbia,Social transfers in kind (STiK): education,Dollars,5449
2018,British Columbia,Social transfers in kind (STiK): education,Dollars,5532
2019,British Columbia,Social transfers in kind (STiK): education,Dollars,5725
2020,British Columbia,Social transfers in kind (STiK): education,Dollars,6068
2010,British Columbia,Social transfers in kind (STiK): health,Dollars,8621
2011,British Columbia,Social transfers in kind (STiK): health,Dollars,8942
2012,British Columbia,Social transfers in kind (STiK): health,Dollars,9212
2013,British Columbia,Social transfers in kind (STiK): health,Dollars,9511
2014,British Columbia,Social transfers in kind (STiK): health,Dollars,9518
2015,British Columbia,Social transfers in kind (STiK): health,Dollars,9797
2016,British Columbia,Social transfers in kind (STiK): health,Dollars,9867
2017,British Columbia,Social transfers in kind (STiK): health,Dollars,9999
2018,British Columbia,Social transfers in kind (STiK): health,Dollars,10070
2019,British Columbia,Social transfers in kind (STiK): health,Dollars,10590
2020,British Columbia,Social transfers in kind (STiK): health,Dollars,11430
2010,British Columbia,Social transfers in kind (STiK): other,Dollars,3248
2011,British Columbia,Social transfers in kind (STiK): other,Dollars,3314
2012,British Columbia,Social transfers in kind (STiK): other,Dollars,3460
2013,British Columbia,Social transfers in kind (STiK): other,Dollars,3556
2014,British Columbia,Social transfers in kind (STiK): other,Dollars,3369
2015,British Columbia,Social transfers in kind (STiK): other,Dollars,3440
2016,British Columbia,Social transfers in kind (STiK): other,Dollars,3562
2017,British Columbia,Social transfers in kind (STiK): other,Dollars,3701
2018,British Columbia,Social transfers in kind (STiK): other,Dollars,3779
2019,British Columbia,Social transfers in kind (STiK): other,Dollars,4108
2020,British Columbia,Social transfers in kind (STiK): other,Dollars,4240
2010,Yukon,Household disposable income,Dollars," $86,905 "
2011,Yukon,Household disposable income,Dollars," $87,768 "
2012,Yukon,Household disposable income,Dollars," $91,803 "
2013,Yukon,Household disposable income,Dollars," $92,810 "
2014,Yukon,Household disposable income,Dollars," $94,698 "
2015,Yukon,Household disposable income,Dollars," $96,529 "
2016,Yukon,Household disposable income,Dollars," $95,994 "
2017,Yukon,Household disposable income,Dollars," $100,716 "
2018,Yukon,Household disposable income,Dollars," $101,079 "
2019,Yukon,Household disposable income,Dollars," $102,859 "
2020,Yukon,Household disposable income,Dollars," $111,632 "
2010,Yukon,Compensation of employees,Dollars,77805
2011,Yukon,Compensation of employees,Dollars,80686
2012,Yukon,Compensation of employees,Dollars,83765
2013,Yukon,Compensation of employees,Dollars,83952
2014,Yukon,Compensation of employees,Dollars,84438
2015,Yukon,Compensation of employees,Dollars,83658
2016,Yukon,Compensation of employees,Dollars,81642
2017,Yukon,Compensation of employees,Dollars,85066
2018,Yukon,Compensation of employees,Dollars,87362
2019,Yukon,Compensation of employees,Dollars,88783
2020,Yukon,Compensation of employees,Dollars,89650
2010,Yukon,Net mixed income,Dollars,17541
2011,Yukon,Net mixed income,Dollars,18152
2012,Yukon,Net mixed income,Dollars,19307
2013,Yukon,Net mixed income,Dollars,20023
2014,Yukon,Net mixed income,Dollars,20845
2015,Yukon,Net mixed income,Dollars,20335
2016,Yukon,Net mixed income,Dollars,20274
2017,Yukon,Net mixed income,Dollars,20831
2018,Yukon,Net mixed income,Dollars,20949
2019,Yukon,Net mixed income,Dollars,21321
2020,Yukon,Net mixed income,Dollars,21874
2010,Yukon,Property income received,Dollars,10142
2011,Yukon,Property income received,Dollars,10524
2012,Yukon,Property income received,Dollars,11160
2013,Yukon,Property income received,Dollars,8792
2014,Yukon,Property income received,Dollars,8985
2015,Yukon,Property income received,Dollars,11385
2016,Yukon,Property income received,Dollars,10705
2017,Yukon,Property income received,Dollars,11550
2018,Yukon,Property income received,Dollars,11693
2019,Yukon,Property income received,Dollars,12542
2020,Yukon,Property income received,Dollars,11698
2010,Yukon,Less: property income paid,Dollars,3265
2011,Yukon,Less: property income paid,Dollars,3376
2012,Yukon,Less: property income paid,Dollars,3587
2013,Yukon,Less: property income paid,Dollars,3452
2014,Yukon,Less: property income paid,Dollars,3505
2015,Yukon,Less: property income paid,Dollars,3341
2016,Yukon,Less: property income paid,Dollars,3353
2017,Yukon,Less: property income paid,Dollars,3234
2018,Yukon,Less: property income paid,Dollars,3823
2019,Yukon,Less: property income paid,Dollars,4436
2020,Yukon,Less: property income paid,Dollars,3881
2010,Yukon,Current transfers received,Dollars,20146
2011,Yukon,Current transfers received,Dollars,19195
2012,Yukon,Current transfers received,Dollars,20792
2013,Yukon,Current transfers received,Dollars,21753
2014,Yukon,Current transfers received,Dollars,21603
2015,Yukon,Current transfers received,Dollars,22585
2016,Yukon,Current transfers received,Dollars,23469
2017,Yukon,Current transfers received,Dollars,24544
2018,Yukon,Current transfers received,Dollars,25298
2019,Yukon,Current transfers received,Dollars,26016
2020,Yukon,Current transfers received,Dollars,33477
2010,Yukon,Less: current transfers paid,Dollars,35498
2011,Yukon,Less: current transfers paid,Dollars,37464
2012,Yukon,Less: current transfers paid,Dollars,39724
2013,Yukon,Less: current transfers paid,Dollars,38296
2014,Yukon,Less: current transfers paid,Dollars,37726
2015,Yukon,Less: current transfers paid,Dollars,38116
2016,Yukon,Less: current transfers paid,Dollars,36704
2017,Yukon,Less: current transfers paid,Dollars,38057
2018,Yukon,Less: current transfers paid,Dollars,40421
2019,Yukon,Less: current transfers paid,Dollars,41407
2020,Yukon,Less: current transfers paid,Dollars,41186
2010,Yukon,Social transfers in kind (STiK): education,Dollars,13928
2011,Yukon,Social transfers in kind (STiK): education,Dollars,13185
2012,Yukon,Social transfers in kind (STiK): education,Dollars,12894
2013,Yukon,Social transfers in kind (STiK): education,Dollars,13482
2014,Yukon,Social transfers in kind (STiK): education,Dollars,13510
2015,Yukon,Social transfers in kind (STiK): education,Dollars,13112
2016,Yukon,Social transfers in kind (STiK): education,Dollars,12782
2017,Yukon,Social transfers in kind (STiK): education,Dollars,13000
2018,Yukon,Social transfers in kind (STiK): education,Dollars,12475
2019,Yukon,Social transfers in kind (STiK): education,Dollars,11622
2020,Yukon,Social transfers in kind (STiK): education,Dollars,12679
2010,Yukon,Social transfers in kind (STiK): health,Dollars,14533
2011,Yukon,Social transfers in kind (STiK): health,Dollars,14800
2012,Yukon,Social transfers in kind (STiK): health,Dollars,15159
2013,Yukon,Social transfers in kind (STiK): health,Dollars,15976
2014,Yukon,Social transfers in kind (STiK): health,Dollars,16518
2015,Yukon,Social transfers in kind (STiK): health,Dollars,18211
2016,Yukon,Social transfers in kind (STiK): health,Dollars,18634
2017,Yukon,Social transfers in kind (STiK): health,Dollars,19548
2018,Yukon,Social transfers in kind (STiK): health,Dollars,18839
2019,Yukon,Social transfers in kind (STiK): health,Dollars,19537
2020,Yukon,Social transfers in kind (STiK): health,Dollars,21006
2010,Yukon,Social transfers in kind (STiK): other,Dollars,11344
2011,Yukon,Social transfers in kind (STiK): other,Dollars,11530
2012,Yukon,Social transfers in kind (STiK): other,Dollars,11538
2013,Yukon,Social transfers in kind (STiK): other,Dollars,11899
2014,Yukon,Social transfers in kind (STiK): other,Dollars,11649
2015,Yukon,Social transfers in kind (STiK): other,Dollars,11868
2016,Yukon,Social transfers in kind (STiK): other,Dollars,11817
2017,Yukon,Social transfers in kind (STiK): other,Dollars,11515
2018,Yukon,Social transfers in kind (STiK): other,Dollars,11637
2019,Yukon,Social transfers in kind (STiK): other,Dollars,11343
2020,Yukon,Social transfers in kind (STiK): other,Dollars,11376
2010,Yukon,Food and non-alcoholic beverages,Dollars,0
2011,Yukon,Food and non-alcoholic beverages,Dollars,0
2012,Yukon,Food and non-alcoholic beverages,Dollars,0
2013,Yukon,Food and non-alcoholic beverages,Dollars,0
2014,Yukon,Food and non-alcoholic beverages,Dollars,0
2015,Yukon,Food and non-alcoholic beverages,Dollars,7587
2016,Yukon,Food and non-alcoholic beverages,Dollars,0
2017,Yukon,Food and non-alcoholic beverages,Dollars,7196
2018,Yukon,Food and non-alcoholic beverages,Dollars,7286
2019,Yukon,Food and non-alcoholic beverages,Dollars,7447
2020,Yukon,Food and non-alcoholic beverages,Dollars,8452
2010,Yukon,Alcoholic beverages and tobacco,Dollars,0
2011,Yukon,Alcoholic beverages and tobacco,Dollars,0
2012,Yukon,Alcoholic beverages and tobacco,Dollars,0
2013,Yukon,Alcoholic beverages and tobacco,Dollars,0
2014,Yukon,Alcoholic beverages and tobacco,Dollars,0
2015,Yukon,Alcoholic beverages and tobacco,Dollars,3752
2016,Yukon,Alcoholic beverages and tobacco,Dollars,0
2017,Yukon,Alcoholic beverages and tobacco,Dollars,3773
2018,Yukon,Alcoholic beverages and tobacco,Dollars,3790
2019,Yukon,Alcoholic beverages and tobacco,Dollars,3738
2020,Yukon,Alcoholic beverages and tobacco,Dollars,4015
2010,Yukon,Clothing and footwear,Dollars,0
2011,Yukon,Clothing and footwear,Dollars,0
2012,Yukon,Clothing and footwear,Dollars,0
2013,Yukon,Clothing and footwear,Dollars,0
2014,Yukon,Clothing and footwear,Dollars,0
2015,Yukon,Clothing and footwear,Dollars,1902
2016,Yukon,Clothing and footwear,Dollars,0
2017,Yukon,Clothing and footwear,Dollars,1604
2018,Yukon,Clothing and footwear,Dollars,2194
2019,Yukon,Clothing and footwear,Dollars,2202
2020,Yukon,Clothing and footwear,Dollars,1809
2010,Yukon,"Housing, water, electricity, gas and other fuels",Dollars,0
2011,Yukon,"Housing, water, electricity, gas and other fuels",Dollars,0
2012,Yukon,"Housing, water, electricity, gas and other fuels",Dollars,0
2013,Yukon,"Housing, water, electricity, gas and other fuels",Dollars,0
2014,Yukon,"Housing, water, electricity, gas and other fuels",Dollars,0
2015,Yukon,"Housing, water, electricity, gas and other fuels",Dollars,27338
2016,Yukon,"Housing, water, electricity, gas and other fuels",Dollars,0
2017,Yukon,"Housing, water, electricity, gas and other fuels",Dollars,26752
2018,Yukon,"Housing, water, electricity, gas and other fuels",Dollars,25392
2019,Yukon,"Housing, water, electricity, gas and other fuels",Dollars,26251
2020,Yukon,"Housing, water, electricity, gas and other fuels",Dollars,28118
2010,Yukon,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,0
2011,Yukon,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,0
2012,Yukon,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,0
2013,Yukon,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,0
2014,Yukon,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,0
2015,Yukon,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3368
2016,Yukon,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,0
2017,Yukon,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3470
2018,Yukon,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,3988
2019,Yukon,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4069
2020,Yukon,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4588
2010,Yukon,Health,Dollars,0
2011,Yukon,Health,Dollars,0
2012,Yukon,Health,Dollars,0
2013,Yukon,Health,Dollars,0
2014,Yukon,Health,Dollars,0
2015,Yukon,Health,Dollars,2203
2016,Yukon,Health,Dollars,0
2017,Yukon,Health,Dollars,2214
2018,Yukon,Health,Dollars,2092
2019,Yukon,Health,Dollars,2124
2020,Yukon,Health,Dollars,1959
2010,Yukon,Transport,Dollars,0
2011,Yukon,Transport,Dollars,0
2012,Yukon,Transport,Dollars,0
2013,Yukon,Transport,Dollars,0
2014,Yukon,Transport,Dollars,0
2015,Yukon,Transport,Dollars,10711
2016,Yukon,Transport,Dollars,0
2017,Yukon,Transport,Dollars,12205
2018,Yukon,Transport,Dollars,11673
2019,Yukon,Transport,Dollars,11601
2020,Yukon,Transport,Dollars,8842
2010,Yukon,Communications,Dollars,0
2011,Yukon,Communications,Dollars,0
2012,Yukon,Communications,Dollars,0
2013,Yukon,Communications,Dollars,0
2014,Yukon,Communications,Dollars,0
2015,Yukon,Communications,Dollars,1932
2016,Yukon,Communications,Dollars,0
2017,Yukon,Communications,Dollars,1903
2018,Yukon,Communications,Dollars,1809
2019,Yukon,Communications,Dollars,1839
2020,Yukon,Communications,Dollars,1887
2010,Yukon,Recreation and culture,Dollars,0
2011,Yukon,Recreation and culture,Dollars,0
2012,Yukon,Recreation and culture,Dollars,0
2013,Yukon,Recreation and culture,Dollars,0
2014,Yukon,Recreation and culture,Dollars,0
2015,Yukon,Recreation and culture,Dollars,6535
2016,Yukon,Recreation and culture,Dollars,0
2017,Yukon,Recreation and culture,Dollars,6275
2018,Yukon,Recreation and culture,Dollars,7448
2019,Yukon,Recreation and culture,Dollars,7458
2020,Yukon,Recreation and culture,Dollars,7784
2010,Yukon,Education,Dollars,0
2011,Yukon,Education,Dollars,0
2012,Yukon,Education,Dollars,0
2013,Yukon,Education,Dollars,0
2014,Yukon,Education,Dollars,0
2015,Yukon,Education,Dollars,482
2016,Yukon,Education,Dollars,0
2017,Yukon,Education,Dollars,359
2018,Yukon,Education,Dollars,437
2019,Yukon,Education,Dollars,449
2020,Yukon,Education,Dollars,439
2010,Yukon,"Food, beverage and accommodation services",Dollars,0
2011,Yukon,"Food, beverage and accommodation services",Dollars,0
2012,Yukon,"Food, beverage and accommodation services",Dollars,0
2013,Yukon,"Food, beverage and accommodation services",Dollars,0
2014,Yukon,"Food, beverage and accommodation services",Dollars,0
2015,Yukon,"Food, beverage and accommodation services",Dollars,8335
2016,Yukon,"Food, beverage and accommodation services",Dollars,0
2017,Yukon,"Food, beverage and accommodation services",Dollars,9058
2018,Yukon,"Food, beverage and accommodation services",Dollars,8752
2019,Yukon,"Food, beverage and accommodation services",Dollars,8870
2020,Yukon,"Food, beverage and accommodation services",Dollars,5858
2010,Yukon,Insurance and financial services,Dollars,0
2011,Yukon,Insurance and financial services,Dollars,0
2012,Yukon,Insurance and financial services,Dollars,0
2013,Yukon,Insurance and financial services,Dollars,0
2014,Yukon,Insurance and financial services,Dollars,0
2015,Yukon,Insurance and financial services,Dollars,4557
2016,Yukon,Insurance and financial services,Dollars,0
2017,Yukon,Insurance and financial services,Dollars,4554
2018,Yukon,Insurance and financial services,Dollars,4240
2019,Yukon,Insurance and financial services,Dollars,4298
2020,Yukon,Insurance and financial services,Dollars,4538
2010,Yukon,Miscellaneous goods and services,Dollars,0
2011,Yukon,Miscellaneous goods and services,Dollars,0
2012,Yukon,Miscellaneous goods and services,Dollars,0
2013,Yukon,Miscellaneous goods and services,Dollars,0
2014,Yukon,Miscellaneous goods and services,Dollars,0
2015,Yukon,Miscellaneous goods and services,Dollars,3395
2016,Yukon,Miscellaneous goods and services,Dollars,0
2017,Yukon,Miscellaneous goods and services,Dollars,3447
2018,Yukon,Miscellaneous goods and services,Dollars,3540
2019,Yukon,Miscellaneous goods and services,Dollars,3617
2020,Yukon,Miscellaneous goods and services,Dollars,3436
2010,Yukon,Social transfers in kind (STiK): education,Dollars,13928
2011,Yukon,Social transfers in kind (STiK): education,Dollars,13185
2012,Yukon,Social transfers in kind (STiK): education,Dollars,12894
2013,Yukon,Social transfers in kind (STiK): education,Dollars,13482
2014,Yukon,Social transfers in kind (STiK): education,Dollars,13510
2015,Yukon,Social transfers in kind (STiK): education,Dollars,13112
2016,Yukon,Social transfers in kind (STiK): education,Dollars,12782
2017,Yukon,Social transfers in kind (STiK): education,Dollars,13000
2018,Yukon,Social transfers in kind (STiK): education,Dollars,12475
2019,Yukon,Social transfers in kind (STiK): education,Dollars,11622
2020,Yukon,Social transfers in kind (STiK): education,Dollars,12679
2010,Yukon,Social transfers in kind (STiK): health,Dollars,14533
2011,Yukon,Social transfers in kind (STiK): health,Dollars,14800
2012,Yukon,Social transfers in kind (STiK): health,Dollars,15159
2013,Yukon,Social transfers in kind (STiK): health,Dollars,15976
2014,Yukon,Social transfers in kind (STiK): health,Dollars,16518
2015,Yukon,Social transfers in kind (STiK): health,Dollars,18211
2016,Yukon,Social transfers in kind (STiK): health,Dollars,18634
2017,Yukon,Social transfers in kind (STiK): health,Dollars,19548
2018,Yukon,Social transfers in kind (STiK): health,Dollars,18839
2019,Yukon,Social transfers in kind (STiK): health,Dollars,19537
2020,Yukon,Social transfers in kind (STiK): health,Dollars,21006
2010,Yukon,Social transfers in kind (STiK): other,Dollars,11344
2011,Yukon,Social transfers in kind (STiK): other,Dollars,11530
2012,Yukon,Social transfers in kind (STiK): other,Dollars,11538
2013,Yukon,Social transfers in kind (STiK): other,Dollars,11899
2014,Yukon,Social transfers in kind (STiK): other,Dollars,11649
2015,Yukon,Social transfers in kind (STiK): other,Dollars,11868
2016,Yukon,Social transfers in kind (STiK): other,Dollars,11817
2017,Yukon,Social transfers in kind (STiK): other,Dollars,11515
2018,Yukon,Social transfers in kind (STiK): other,Dollars,11637
2019,Yukon,Social transfers in kind (STiK): other,Dollars,11343
2020,Yukon,Social transfers in kind (STiK): other,Dollars,11376
2010,Northwest Territories,Household disposable income,Dollars," $103,943 "
2011,Northwest Territories,Household disposable income,Dollars," $104,010 "
2012,Northwest Territories,Household disposable income,Dollars," $105,010 "
2013,Northwest Territories,Household disposable income,Dollars," $110,351 "
2014,Northwest Territories,Household disposable income,Dollars," $112,141 "
2015,Northwest Territories,Household disposable income,Dollars," $116,295 "
2016,Northwest Territories,Household disposable income,Dollars," $117,651 "
2017,Northwest Territories,Household disposable income,Dollars," $116,445 "
2018,Northwest Territories,Household disposable income,Dollars," $117,098 "
2019,Northwest Territories,Household disposable income,Dollars," $118,677 "
2020,Northwest Territories,Household disposable income,Dollars," $129,892 "
2010,Northwest Territories,Compensation of employees,Dollars,107971
2011,Northwest Territories,Compensation of employees,Dollars,110996
2012,Northwest Territories,Compensation of employees,Dollars,112799
2013,Northwest Territories,Compensation of employees,Dollars,116169
2014,Northwest Territories,Compensation of employees,Dollars,118936
2015,Northwest Territories,Compensation of employees,Dollars,124548
2016,Northwest Territories,Compensation of employees,Dollars,120129
2017,Northwest Territories,Compensation of employees,Dollars,119243
2018,Northwest Territories,Compensation of employees,Dollars,121765
2019,Northwest Territories,Compensation of employees,Dollars,120458
2020,Northwest Territories,Compensation of employees,Dollars,118849
2010,Northwest Territories,Net mixed income,Dollars,16074
2011,Northwest Territories,Net mixed income,Dollars,17057
2012,Northwest Territories,Net mixed income,Dollars,17762
2013,Northwest Territories,Net mixed income,Dollars,17576
2014,Northwest Territories,Net mixed income,Dollars,17233
2015,Northwest Territories,Net mixed income,Dollars,18253
2016,Northwest Territories,Net mixed income,Dollars,18861
2017,Northwest Territories,Net mixed income,Dollars,18471
2018,Northwest Territories,Net mixed income,Dollars,18778
2019,Northwest Territories,Net mixed income,Dollars,18688
2020,Northwest Territories,Net mixed income,Dollars,18175
2010,Northwest Territories,Property income received,Dollars,8056
2011,Northwest Territories,Property income received,Dollars,8473
2012,Northwest Territories,Property income received,Dollars,8956
2013,Northwest Territories,Property income received,Dollars,11700
2014,Northwest Territories,Property income received,Dollars,11748
2015,Northwest Territories,Property income received,Dollars,12315
2016,Northwest Territories,Property income received,Dollars,10966
2017,Northwest Territories,Property income received,Dollars,11863
2018,Northwest Territories,Property income received,Dollars,12364
2019,Northwest Territories,Property income received,Dollars,12171
2020,Northwest Territories,Property income received,Dollars,12346
2010,Northwest Territories,Less: property income paid,Dollars,3508
2011,Northwest Territories,Less: property income paid,Dollars,3752
2012,Northwest Territories,Less: property income paid,Dollars,3699
2013,Northwest Territories,Less: property income paid,Dollars,3197
2014,Northwest Territories,Less: property income paid,Dollars,3175
2015,Northwest Territories,Less: property income paid,Dollars,3618
2016,Northwest Territories,Less: property income paid,Dollars,3469
2017,Northwest Territories,Less: property income paid,Dollars,3285
2018,Northwest Territories,Less: property income paid,Dollars,3940
2019,Northwest Territories,Less: property income paid,Dollars,4156
2020,Northwest Territories,Less: property income paid,Dollars,3596
2010,Northwest Territories,Current transfers received,Dollars,25141
2011,Northwest Territories,Current transfers received,Dollars,26585
2012,Northwest Territories,Current transfers received,Dollars,26739
2013,Northwest Territories,Current transfers received,Dollars,26085
2014,Northwest Territories,Current transfers received,Dollars,27686
2015,Northwest Territories,Current transfers received,Dollars,30470
2016,Northwest Territories,Current transfers received,Dollars,34384
2017,Northwest Territories,Current transfers received,Dollars,33157
2018,Northwest Territories,Current transfers received,Dollars,34669
2019,Northwest Territories,Current transfers received,Dollars,37224
2020,Northwest Territories,Current transfers received,Dollars,50105
2010,Northwest Territories,Less: current transfers paid,Dollars,49763
2011,Northwest Territories,Less: current transfers paid,Dollars,55304
2012,Northwest Territories,Less: current transfers paid,Dollars,57567
2013,Northwest Territories,Less: current transfers paid,Dollars,57989
2014,Northwest Territories,Less: current transfers paid,Dollars,60325
2015,Northwest Territories,Less: current transfers paid,Dollars,65702
2016,Northwest Territories,Less: current transfers paid,Dollars,63193
2017,Northwest Territories,Less: current transfers paid,Dollars,63029
2018,Northwest Territories,Less: current transfers paid,Dollars,66489
2019,Northwest Territories,Less: current transfers paid,Dollars,65661
2020,Northwest Territories,Less: current transfers paid,Dollars,65987
2010,Northwest Territories,Social transfers in kind (STiK): education,Dollars,17885
2011,Northwest Territories,Social transfers in kind (STiK): education,Dollars,18383
2012,Northwest Territories,Social transfers in kind (STiK): education,Dollars,18503
2013,Northwest Territories,Social transfers in kind (STiK): education,Dollars,18004
2014,Northwest Territories,Social transfers in kind (STiK): education,Dollars,18282
2015,Northwest Territories,Social transfers in kind (STiK): education,Dollars,18168
2016,Northwest Territories,Social transfers in kind (STiK): education,Dollars,17248
2017,Northwest Territories,Social transfers in kind (STiK): education,Dollars,18848
2018,Northwest Territories,Social transfers in kind (STiK): education,Dollars,19347
2019,Northwest Territories,Social transfers in kind (STiK): education,Dollars,19004
2020,Northwest Territories,Social transfers in kind (STiK): education,Dollars,21264
2010,Northwest Territories,Social transfers in kind (STiK): health,Dollars,23550
2011,Northwest Territories,Social transfers in kind (STiK): health,Dollars,23959
2012,Northwest Territories,Social transfers in kind (STiK): health,Dollars,24176
2013,Northwest Territories,Social transfers in kind (STiK): health,Dollars,27095
2014,Northwest Territories,Social transfers in kind (STiK): health,Dollars,28861
2015,Northwest Territories,Social transfers in kind (STiK): health,Dollars,30305
2016,Northwest Territories,Social transfers in kind (STiK): health,Dollars,32935
2017,Northwest Territories,Social transfers in kind (STiK): health,Dollars,33625
2018,Northwest Territories,Social transfers in kind (STiK): health,Dollars,34554
2019,Northwest Territories,Social transfers in kind (STiK): health,Dollars,32623
2020,Northwest Territories,Social transfers in kind (STiK): health,Dollars,36061
2010,Northwest Territories,Social transfers in kind (STiK): other,Dollars,19243
2011,Northwest Territories,Social transfers in kind (STiK): other,Dollars,19366
2012,Northwest Territories,Social transfers in kind (STiK): other,Dollars,19691
2013,Northwest Territories,Social transfers in kind (STiK): other,Dollars,19474
2014,Northwest Territories,Social transfers in kind (STiK): other,Dollars,21247
2015,Northwest Territories,Social transfers in kind (STiK): other,Dollars,21863
2016,Northwest Territories,Social transfers in kind (STiK): other,Dollars,21622
2017,Northwest Territories,Social transfers in kind (STiK): other,Dollars,21871
2018,Northwest Territories,Social transfers in kind (STiK): other,Dollars,22407
2019,Northwest Territories,Social transfers in kind (STiK): other,Dollars,23296
2020,Northwest Territories,Social transfers in kind (STiK): other,Dollars,24874
2010,Northwest Territories,Food and non-alcoholic beverages,Dollars,0
2011,Northwest Territories,Food and non-alcoholic beverages,Dollars,0
2012,Northwest Territories,Food and non-alcoholic beverages,Dollars,0
2013,Northwest Territories,Food and non-alcoholic beverages,Dollars,0
2014,Northwest Territories,Food and non-alcoholic beverages,Dollars,0
2015,Northwest Territories,Food and non-alcoholic beverages,Dollars,11856
2016,Northwest Territories,Food and non-alcoholic beverages,Dollars,0
2017,Northwest Territories,Food and non-alcoholic beverages,Dollars,11528
2018,Northwest Territories,Food and non-alcoholic beverages,Dollars,11721
2019,Northwest Territories,Food and non-alcoholic beverages,Dollars,11824
2020,Northwest Territories,Food and non-alcoholic beverages,Dollars,13469
2010,Northwest Territories,Alcoholic beverages and tobacco,Dollars,0
2011,Northwest Territories,Alcoholic beverages and tobacco,Dollars,0
2012,Northwest Territories,Alcoholic beverages and tobacco,Dollars,0
2013,Northwest Territories,Alcoholic beverages and tobacco,Dollars,0
2014,Northwest Territories,Alcoholic beverages and tobacco,Dollars,0
2015,Northwest Territories,Alcoholic beverages and tobacco,Dollars,5574
2016,Northwest Territories,Alcoholic beverages and tobacco,Dollars,0
2017,Northwest Territories,Alcoholic beverages and tobacco,Dollars,5670
2018,Northwest Territories,Alcoholic beverages and tobacco,Dollars,5993
2019,Northwest Territories,Alcoholic beverages and tobacco,Dollars,5850
2020,Northwest Territories,Alcoholic beverages and tobacco,Dollars,6327
2010,Northwest Territories,Clothing and footwear,Dollars,0
2011,Northwest Territories,Clothing and footwear,Dollars,0
2012,Northwest Territories,Clothing and footwear,Dollars,0
2013,Northwest Territories,Clothing and footwear,Dollars,0
2014,Northwest Territories,Clothing and footwear,Dollars,0
2015,Northwest Territories,Clothing and footwear,Dollars,4859
2016,Northwest Territories,Clothing and footwear,Dollars,0
2017,Northwest Territories,Clothing and footwear,Dollars,4401
2018,Northwest Territories,Clothing and footwear,Dollars,5664
2019,Northwest Territories,Clothing and footwear,Dollars,5614
2020,Northwest Territories,Clothing and footwear,Dollars,4627
2010,Northwest Territories,"Housing, water, electricity, gas and other fuels",Dollars,0
2011,Northwest Territories,"Housing, water, electricity, gas and other fuels",Dollars,0
2012,Northwest Territories,"Housing, water, electricity, gas and other fuels",Dollars,0
2013,Northwest Territories,"Housing, water, electricity, gas and other fuels",Dollars,0
2014,Northwest Territories,"Housing, water, electricity, gas and other fuels",Dollars,0
2015,Northwest Territories,"Housing, water, electricity, gas and other fuels",Dollars,33538
2016,Northwest Territories,"Housing, water, electricity, gas and other fuels",Dollars,0
2017,Northwest Territories,"Housing, water, electricity, gas and other fuels",Dollars,34324
2018,Northwest Territories,"Housing, water, electricity, gas and other fuels",Dollars,32040
2019,Northwest Territories,"Housing, water, electricity, gas and other fuels",Dollars,32636
2020,Northwest Territories,"Housing, water, electricity, gas and other fuels",Dollars,34922
2010,Northwest Territories,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,0
2011,Northwest Territories,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,0
2012,Northwest Territories,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,0
2013,Northwest Territories,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,0
2014,Northwest Territories,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,0
2015,Northwest Territories,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4189
2016,Northwest Territories,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,0
2017,Northwest Territories,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,4272
2018,Northwest Territories,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,5009
2019,Northwest Territories,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,5039
2020,Northwest Territories,"Furnishings, household equipment and other goods and services related to the dwelling and property",Dollars,5664
2010,Northwest Territories,Health,Dollars,0
2011,Northwest Territories,Health,Dollars,0
2012,Northwest Territories,Health,Dollars,0
2013,Northwest Territories,Health,Dollars,0
2014,Northwest Territories,Health,Dollars,0
2015,Northwest Territories,Health,Dollars,2160
2016,Northwest Territories,Health,Dollars,0
2017,Northwest Territories,Health,Dollars,2164
2018,Northwest Territories,Health,Dollars,2175
2019,Northwest Territories,Health,Dollars,2177
2020,Northwest Territories,Health,Dollars,2022
2010,Northwest Territories,Transport,Dollars,0
2011,Northwest Territories,Transport,Dollars,0
2012,Northwest Territories,Transport,Dollars,0
